What is the Digital Rupee (e-rupee) launched by the RBI?|Central Bank Digital Currency (CBDC)|A private cryptocurrency like Bitcoin|A commercial bank-only stablecoin with no RBI link|A foreign exchange reserve bond|RBI-issued legal tender form; aims to cut cash costs; not private crypto.
What does inflation signify in an economy?|A general rise in prices and a fall in money's purchasing power|Only a stock market crash|Only when the rupee appreciates|Only unemployment rising|Example: 6% inflation implies last year's ₹100 basket costs more today.
What is the difference between repo rate and reverse repo rate?|Repo: RBI lends to banks; reverse repo: banks park funds with RBI|They are always identical rates|Repo is the cash reserve ratio|Reverse repo is the GST slab rate|Repo hikes make bank credit costlier, cooling demand and inflation pressure.
What is a unicorn company in the startup world?|A private startup valued at over one billion US dollars|Any listed SME|A government PSU|A firm with exactly 100 employees|India is a major hub in fintech and SaaS unicorns.
What is India's Blue Revolution mainly associated with?|Aquaculture and fisheries productivity|Blue-chip stock indices only|Indigo dye exports|Navy submarine fleet size|Modern, sustainable fish production push.
What does FDI stand for?|Foreign Direct Investment|Federal Domestic Income|Fiscal Deficit Index|Foreign Dividend Interest|Cross-border investment in business operations.
What does an IPO (Initial Public Offering) mean?|First-time offer of a company's shares to the public|Only a government bond auction|Only an inter-bank overnight loan rate|Only an import duty waiver|Primary market listing; distinct from secondary trading.
What is microeconomics?|Study of individual households and firms and specific markets|Study of only central bank balance sheet|Study of only world trade totals|Study of only tax filing dates|Contrasts with macroeconomics at national level.
What is Direct Benefit Transfer (DBT)?|Transferring subsidies and benefits straight to beneficiaries' bank accounts|Only cash delivery at post offices|Only tax refunds to companies|Only MNREGA wage caps|Cuts leakages and middlemen in schemes like LPG subsidies.
What is GDP (Gross Domestic Product)?|Total market value of finished goods and services produced in a country in a period|Only government spending|Only export value|Only stock market capitalization|Key headline gauge of economic size and growth.
What is a Giffen good in economics?|A low-income staple whose demand can rise when its price rises|Any luxury good|A good with perfectly elastic demand|A free public good|Substitution effect dominated by income effect for very poor consumers.
What is angel investment?|Wealthy individuals funding early startups for equity|Only World Bank project loans|Only bank overdrafts|Only government grants with no equity|High-risk early capital before VC scale.
What is fiscal policy?|Government spending and tax choices to steer the economy|RBI open market operations only|SEBI margin rules only|Only exchange rate pegging|Finance ministry domain; monetary policy is RBI.
What is cryptocurrency mining?|Verifying blockchain transactions with heavy computation for token rewards|Printing physical banknotes|Mining rare earth ores only|Scanning QR codes at tolls|Proof-of-work style incentive for network security.
What is a liquidity trap?|Very low interest rates fail to lift spending or investment much|Banks have zero deposits|Only hyperinflation state|Only when gold standard returns|People hoard cash expecting bad outcomes; Keynesian idea.
What is venture capital?|Equity funding for high-growth, high-risk startups|Retail fixed deposits|Sovereign gold bonds only|Crop insurance premium|Often hands-on investors and board involvement.
What is the Sensex?|BSE benchmark index of 30 large liquid stocks|NSE 50 index|RBI policy rate|GDP deflator series|Bombay Stock Exchange flagship index.
What is the Nifty 50?|NSE flagship index of 50 large stocks|BSE 30 index|Midcap 100 only|Government bond yield index|Weighted large-cap barometer on National Stock Exchange.
