Who is the President of India as of 2026?|Droupadi Murmu|Ram Nath Kovind|Pratibha Patil|APJ Abdul Kalam|First tribal President; 15th President.
Which amendment is known as the Women's Reservation Act (Nari Shakti Vandan Adhiniyam)?|106th Amendment Act|103rd Amendment|104th Amendment|105th Amendment|Reserves one-third seats for women in Lok Sabha and state assemblies.
What is the minimum age to be Prime Minister of India (as MP age limits imply)?|25 years|21 years|30 years|35 years|Must qualify for Lok Sabha (25) or Rajya Sabha (30); PM is usually LS member.
Which Article deals with the Right to Education for children 6–14?|Article 21A|Article 19|Article 32|Article 45|Made a fundamental right by the 86th Amendment; Part III.
Fundamental Duties were inserted by which constitutional amendment?|42nd Amendment|44th Amendment|73rd Amendment|52nd Amendment|Part IVA added in 1976; distinct from counting six Fundamental Rights.
Who is the ex-officio Chairman of the Rajya Sabha?|The Vice President of India|The Lok Sabha Speaker|The Prime Minister|The Chief Justice|Article 64.
Which body conducts elections to Parliament and state legislatures?|The Election Commission of India|The UPSC|The Finance Commission|The CAG|Article 324; constitutional authority.
What is the maximum permitted strength of the Lok Sabha under the Constitution?|552|530|545|500|Includes state + UT seats as per constitutional scheme.
From which country was the idea of Directive Principles of State Policy (DPSP) borrowed?|Ireland|United Kingdom|United States|Canada|Non-justiciable guidelines for governance.
Who was the President of the Constituent Assembly of India?|Dr. Rajendra Prasad|Dr. B.R. Ambedkar|Jawaharlal Nehru|Sardar Patel|Chair of the Assembly; Ambedkar chaired the Drafting Committee.
What is the tenure of a Rajya Sabha member?|6 years|5 years|4 years|Permanent house|One-third retire every two years.
Which fundamental right did Dr. Ambedkar call the heart and soul of the Constitution?|Right to Constitutional Remedies (Article 32)|Article 14|Article 19|Article 21|Supreme Court writ jurisdiction.
What is the official language of proceedings in the Supreme Court of India?|English|Hindi|Sanskrit|Regional language of choice|Article 348.
Panchayati Raj in rural areas got constitutional status through which amendment?|73rd Amendment Act, 1992|74th Amendment only|69th Amendment|71st Amendment|Three-tier local self-government.
Who appoints the Chief Justice of India?|The President of India|The Prime Minister alone|The Collegium directly|The Parliament|On Supreme Court collegium recommendation.
Which Schedule lists the official languages of India?|Eighth Schedule|Seventh Schedule|Sixth Schedule|Tenth Schedule|22 languages currently.
What quorum fraction is required for the Lok Sabha to transact business?|One-tenth of total membership|One-fifth|One-half|100 members minimum|Minimum presence to function.
Who can proclaim a Financial Emergency in India under Article 360?|The President of India|The Prime Minister|The Parliament by simple majority|The Finance Minister|Never invoked so far in India.
Which institution is often called the interpreter and guardian of the Constitution?|The Supreme Court of India|The President|The Parliament|The Election Commission|Judicial review power.
India's single-citizenship model is closest in spirit to which country?|United Kingdom (Britain)|United States|Canada|Switzerland|US-style dual citizenship is not the Indian model.
Which planet is called the Morning Star or Evening Star?|Venus|Mars|Mercury|Jupiter|Brightest planet; seen near sunrise or sunset.
What is the SI unit of frequency?|Hertz (Hz)|Ampere|Newton|Coulomb|Cycles per second.
About what fraction of dry air by volume is oxygen?|21%|78%|1%|50%|Nitrogen dominates; oxygen supports respiration and combustion.
Which organ filters blood and produces urine?|Kidneys|Liver|Lungs|Heart|Excretion and electrolyte balance.
What is the common name for sodium bicarbonate (NaHCO3)?|Baking soda|Washing soda|Caustic soda|Table salt|Used in cooking and antacids.
Who formulated the law of universal gravitation?|Isaac Newton|Albert Einstein|Galileo Galilei|Johannes Kepler|Principia and classical gravitation.
Which brain region coordinates balance and fine movement?|Cerebellum|Cerebrum|Medulla oblongata|Hypothalamus|Posterior fossa location.
What is bending of light when it crosses media called?|Refraction|Reflection only|Polarization|Interference|Speed of light changes with medium.
Which ISRO programme aims at India's first human spaceflight?|Gaganyaan|Chandrayaan-3|Mangalyaan|Aditya-L1|Crewed mission programme.
Which organelle is called the powerhouse of the cell?|Mitochondria|Ribosome|Golgi apparatus|Nucleolus|ATP production mainly here.
Which non-metal is liquid at room temperature?|Bromine|Iodine|Chlorine|Carbon|Mercury is a liquid metal; bromine is liquid non-metal.
A typical silicon photovoltaic cell is mostly made of?|Silicon|Germanium|Pure carbon diamond|Copper|Dominant semiconductor in solar panels.
Which acid gives citrus fruits their sour taste?|Citric acid|Sulfuric acid|Acetic acid|Hydrochloric acid|Lemons and oranges.
What is the common expansion taught for Wi-Fi?|Wireless Fidelity|Wide Fidelity|Wired Internet|Worldwide Interlink|Exam-style naming; IEEE 802.11 family.
Who is widely called the father of the Indian space programme?|Dr. Vikram Sarabhai|Homi J. Bhabha|Satish Dhawan|APJ Abdul Kalam|ISRO institutional roots.
Night blindness is most commonly linked to deficiency of?|Vitamin A|Vitamin C|Vitamin D|Vitamin B12|Retinol and visual pigments.
What is the atomic number of carbon?|6|8|12|14|Protons in nucleus; basis of organic chemistry.
Which instrument measures atmospheric pressure?|Barometer|Thermometer|Hygrometer|Anemometer|Torricelli-related device.
LPG used in domestic cylinders is mainly a mix of?|Butane and propane|Methane only|Ethylene only|Pure hydrogen|Stored pressurized liquid fuel.
Which industrial acid is often called the king of chemicals?|Sulfuric acid (H2SO4)|Hydrochloric acid|Nitric acid|Phosphoric acid|Widely used across industries.
Who was the first Governor-General of independent India?|Lord Mountbatten|C. Rajagopalachari|Rajendra Prasad|Clement Attlee|Until mid-1948; then Indian GG.
The Non-Cooperation Movement was launched in?|1920|1917|1918|1922|Gandhian mass phase after Rowlatt era.
Who founded the Brahmo Samaj?|Raja Ram Mohan Roy|Swami Dayanand Saraswati|Swami Vivekananda|Ishwar Chandra Vidyasagar|Early social and religious reform.
Which 1757 battle is often seen as opening British ascendancy in Bengal?|Battle of Plassey|Battle of Buxar|Third Battle of Panipat|Battle of Wandiwash|East India Company vs Siraj-ud-Daulah.
Who wrote The Discovery of India?|Jawaharlal Nehru|Rabindranath Tagore|B.R. Ambedkar|Sarojini Naidu|Written mainly at Ahmednagar Fort imprisonment.
Mohenjo-Daro of the Indus Civilization lies mainly along which river?|Indus River|Ganga River|Yamuna River|Narmada River|Major Harappan urban site.
Who was the first Mughal emperor of India?|Babur|Humayun|Akbar|Sher Shah Suri|Panipat 1526 vs Ibrahim Lodi.
What was Gautama Buddha's personal name before renunciation?|Siddhartha|Rahula|Ananda|Mahinda|Born near Lumbini region (modern Nepal).
Who is called the Iron Man of India?|Sardar Vallabhbhai Patel|Subhas Chandra Bose|Bhagat Singh|Lala Lajpat Rai|Integration of princely states.
In which language were the Vedas composed?|Sanskrit|Pali|Prakrit|Tamil|Oldest layer of Hindu scriptures.
