"questionId","questionNumber","questionName","answer","formula","solution","qti","sti","fti","questionText","solutionText","formulaText","hints","moreInfo","queDT","queStatus","examId","yearId","subjectId","chapterId","topicId","examSetId","dificultyId","optionId","wrongAns","set_question_number","autherMarkedQueOk","addedBy","fk_levelId","subjectName","mapQwId","fk_studentId","examName","examSetName","options","adminId","firstName","lastName","eqCommentId","dataEntryFixed","ownerOK","adminOK","ownerComment","adminComment","topicName","subjectCode","chapterName","fk_questionStatusId","fk_queAnsTypeId","fk_essId","essName","queAnsType","fk_examSetId","fk_queAnsTypeId","fk_optionId","dificulty","levelDifficultyId","levelDifficulty","levelDifficultyName","fk_yearId","essInstruction","questionStatusId","questionStatusName","qcStatusClass","examTypeId","examType","mainSubjectId"
"24016","90",,"A",,,"1","1","1","<p><strong>Consider the statement: &ldquo;&nbsp;<span class=""math-tex"">\(\text P(\text n):\text n^2-\text n+41\)</span> is prime.&rdquo; Then which one of the following is true? &nbsp;</strong></p>

<p><strong>(A) Both P(3) and P(5) are true </strong></p>

<p><strong>(B) P(3) is false but P(5) is true &nbsp;</strong></p>

<p><strong>(C) Both P(3) and P(5) are false </strong></p>

<p><strong>(D) P(5) is false but P(3) is true&nbsp;</strong></p>
","<p><strong><span class=""math-tex"">\(\text P(\text n)=\text n^2+41\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\text p(3)=9-3+41=47\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\text P(5)=25-5+41=61\)</span></strong></p>

<p><strong>Hence&nbsp; &nbsp;P(3) and &nbsp;P(5)&nbsp; are both prime&nbsp;</strong></p>
",,,,"2020-04-25 08:48:21","1","1",NULL,"2",NULL,NULL,"375","1","3","2","30","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14374","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","easy","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"24013","89",,"B",,,"1","1","1","<p><strong>If the area enclosed between the curves&nbsp;<span class=""math-tex"">\(\text y = \text {kx}^2 \text {and x} = \text {ky}^2, (\text k &gt; 0),\)</span> is 1 square unit. Then k is:&nbsp;</strong></p>

<p><strong>(A)&nbsp;<span class=""math-tex"">\(\frac{\sqrt{3}}{2}\)</span></strong></p>

<p><strong>(B)&nbsp;<span class=""math-tex"">\(\frac{1}{\sqrt{3}}\)</span></strong></p>

<p><strong>(C)&nbsp;<span class=""math-tex"">\(\sqrt{3}\)</span></strong></p>

<p><strong>(D)&nbsp;<span class=""math-tex"">\(\frac{2}{\sqrt{3}}\)</span></strong></p>
","<p><strong><span class=""math-tex"">\(\text {y=kx}^2,\text {x=ky}^2\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\Rightarrow \text {x=k(k}^2\text x^4)\Rightarrow\text x=0\ \text {or }\ \text x^3=\Big(\frac{1}{\text k}\Big)^3\Rightarrow\text x=\frac{1}{\text k},0\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\)</span>&nbsp;Point of intersection are&nbsp;<span class=""math-tex"">\(\Big(\frac{1}{\text k},\frac{1}{\text k}\Big)\)</span>&nbsp;and (0,0)</strong></p>

<p><strong>Area&nbsp;<span class=""math-tex"">\(=\overset{1/\text k}{\underset{0}\int}\Big(\sqrt{\frac{\text x}{\text k}}-\text {kx}^1\Big)\text {dx}=1\Rightarrow\Big(\frac{1}{\sqrt{\text k}}\frac{\text x^{3/2}}{3/2}-\frac{\text {kx}^3}{3}\Big)^{1/\text k}\)</span></strong></p>

<p><strong><span class=""math-tex"">\(=1\Rightarrow \frac{2}{3\text k^2}=1\Rightarrow\text k^2=\frac{1}{3}\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\text k=\frac{1}{\sqrt{3}}\)</span></strong></p>

<p><img alt="""" src="" https://www.testbee.in/preview/show_qimage/1587804172.png"" style=""height:189px; width:250px"" /></p>
",,,,"2020-04-25 08:43:26","1","1",NULL,"2",NULL,NULL,"375","3","3","2","29","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14373","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","high","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"24008","88",,"D",,,"1","1","1","<p><strong>The sum of all two digit positive numbers which when divided by 7 yield 2 or 5 as remainder is:&nbsp;</strong></p>

<p><strong>(A) 1256 </strong></p>

<p><strong>(B) 1465 &nbsp;</strong></p>

<p><strong>(C) 1365 </strong></p>

<p><strong>(D) 1356&nbsp;</strong></p>
","<p><strong>Two digit numbers of the form 7<span class=""math-tex"">\(\lambda\)</span>&nbsp;+2 are 16, 23 &hellip;&hellip;&hellip;&hellip;&hellip;.,93 &nbsp;</strong></p>

<p><strong>Two digit numbers of the form 7<span class=""math-tex"">\(\lambda\)</span>&nbsp;+5 &nbsp;are 12, 19,&hellip;&hellip;&hellip;&hellip;&hellip;.,96 &nbsp;</strong></p>

<p><strong>Sum of all the above numbers equals to&nbsp;<span class=""math-tex"">\(\frac{12}{2}(16+93)+\frac{13}{2}(12+96)=654+702=1356\)</span></strong></p>
",,,,"2020-04-25 08:22:56","1","1",NULL,"2",NULL,NULL,"375","2","3","2","28","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14372","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","medium","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"24007","87",,"B",,,"1","1","1","<p><strong>If the line 3x + 3y &ndash; 24 = 0 intersects the x-axis at the point A and the y-axis at the point B, then the incentre of the triangle OAB, where O is the origin, is: &nbsp;</strong></p>

<p><strong>(A) (3, 4) </strong></p>

<p><strong>(B) (2, 2) &nbsp;</strong></p>

<p><strong>(C) (4, 3) </strong></p>

<p><strong>(d) (4, 4)&nbsp;</strong></p>
","<p><span class=""math-tex"">\(\text I=\Big(\frac{\text {ax}_1+\text {bx}_2+\text {cx}_3}{\text {a+b+c}},\frac{\text {ay}_1+\text {by}_2+\text {cy }_2}{\text {a+b+c}}\Big)\)</span></p>

<p>&nbsp;&nbsp;<span class=""math-tex"">\(=\Big(\frac{8(60)+6(0)+10(0)}{24},\frac{10(0)+6(8)+8(0)}{24}\Big)=(2,2)\)</span>&nbsp;</p>

<p><img alt="""" src=""https://www.testbee.in/preview/show_qimage/1587802728.png"" style=""height:159px; width:200px"" /></p>
",,,,"2020-04-25 08:19:11","1","1",NULL,"2",NULL,NULL,"375","1","3","2","27","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14371","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","easy","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"24006","86",,"A",,,"1","1","1","<p><strong>The equation of a tangent to the hyperbola <span class=""math-tex"">\(4x^2 – 5y^2 = 20\)</span> parallel to the line x &ndash; y = 2 is: &nbsp;</strong></p>

<p><strong>(A) x &ndash; y + 1 = 0 </strong></p>

<p><strong>(B) x &ndash; y + 7 = 0 &nbsp;</strong></p>

<p><strong>(C) x &ndash; y + 9 = 0 </strong></p>

<p><strong>(D) x &ndash; y &ndash; 3 = 0&nbsp;</strong></p>
","<p><strong>Hyperbola is&nbsp;<span class=""math-tex"">\(\frac{\text x^2}{5}\frac{\text y^2}{4}=1\)</span>&nbsp;</strong></p>

<p><strong>Equation of its tangent in slope from is&nbsp;<span class=""math-tex"">\(\text y=\text {mx}\pm\sqrt{5\text m^2-4}\)</span></strong></p>

<p><strong>Hence tangent with slope 1 is&nbsp;<span class=""math-tex"">\(\text y=\text x\pm1\)</span></strong></p>
",,,,"2020-04-25 08:09:08","1","1",NULL,"2",NULL,NULL,"375","3","3","2","26","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14370","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","high","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"23999","85",,"B",,,"1","1","1","<p><strong>Consider a triangular plot ABC with sides AB = 7 m, BC = 5 m and CA = 6 m. A vertical lamp-post at the mid point D of AC subtends an angle 30&deg; at B. The height (in m) of the lamp-post is:&nbsp;</strong></p>

<p><strong>(A)&nbsp;<span class=""math-tex"">\(\frac{3}{2}\sqrt{21}\)</span></strong></p>

<p><strong>(B)&nbsp;<span class=""math-tex"">\(\frac{2}{3}\sqrt{21}\)</span></strong></p>

<p><strong>(C)&nbsp;<span class=""math-tex"">\({2}\sqrt{21}\)</span></strong></p>

<p><strong>(D)&nbsp;<span class=""math-tex"">\({7}\sqrt{21}\)</span></strong></p>
","<p><strong>Length of median&nbsp;<span class=""math-tex"">\(\text {BM}=\frac{1}{2}\sqrt{2(\text {Bc}^2+\text {BA}^2)-(\text {AC})^2}=\frac{1}{2}\sqrt{2(25+49)-36}\)</span></strong></p>

<p><strong><img alt="""" src=""https://www.testbee.in/preview/show_qimage/1587801840.png"" style=""height:191px; width:500px"" /></strong></p>

<p><strong><span class=""math-tex"">\(=\frac{1}{2}\sqrt{112}=\sqrt{\frac{112}{4}}=\sqrt{28}=2\sqrt{7}\)</span></strong></p>

<p><strong>Let h be height of tower, given&nbsp;<span class=""math-tex"">\(\tan 30^{\circ}=\frac{\text h}{2\sqrt{\text h}}\Rightarrow\text h=2\sqrt{\frac{7}{3}}=\sqrt{\frac{28}{3}}\)</span></strong></p>
",,,,"2020-04-25 07:35:10","1","1",NULL,"2",NULL,NULL,"375","2","3","2","25","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14369","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","medium","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"23997","84",,"A",,,"1","1","1","<p><strong>Let&nbsp;<span class=""math-tex"">\(\text n\geq2\)</span>&nbsp; be a natural number and&nbsp;<span class=""math-tex"">\(0&lt;\theta&lt;\pi/2.\)</span>&nbsp;Then&nbsp;<span class=""math-tex"">\(\int \frac{(\sin^\text n\theta-\sin\theta)^\frac{1}{\text n}\cos \theta}{\sin^{\text n+1}\theta}d\theta\)</span>&nbsp;&nbsp;is equal to:&nbsp;<br />
(where C is a constant of integration)&nbsp;</strong></p>

<p><strong>(A)&nbsp;<span class=""math-tex"">\(\frac{\text n}{\text n^2-1}\Big(1-\frac{1}{\sin^{\text n-1}\theta}\Big)^{\frac{\text n+1}{\text n}}+\text C\)</span></strong></p>

<p><strong>(B)&nbsp;<span class=""math-tex"">\(\frac{\text n}{\text n^2+1}\Big(1-\frac{1}{\sin^{\text n-1}\theta}\Big)^{\frac{\text n+1}{\text n}}+\text C\)</span></strong></p>

<p><strong>(C)&nbsp;<span class=""math-tex"">\(\frac{\text n}{\text n^2-1}\Big(1+\frac{1}{\sin^{\text n-1}\theta}\Big)^{\frac{\text n+1}{\text n}}+\text C\)</span></strong></p>

<p><strong>(D)&nbsp;<span class=""math-tex"">\(\frac{\text n}{\text n^2-1}\Big(1-\frac{1}{\sin^{\text n+1}\theta}\Big)^{\frac{\text n+1}{\text n}}+\text C\)</span></strong></p>
","<p><strong><span class=""math-tex"">\(\int \frac{(\sin^\text n\theta-\sin\theta)^\frac{1}{\text n}\cos \theta}{\sin^{\text n+1}\theta}\text d\theta\)</span></strong></p>

<p><span class=""math-tex"">\(=\int \frac{(\text t^\text n-\text t)^{\text n}\text {dt}}{\text t^{\text n+1}}\)</span>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;( Put <span class=""math-tex"">\(\sin\theta=\text t\)</span>)</p>

<p><span class=""math-tex"">\(=\int \frac{\text t\Big(1-\frac{1}{\text t^{\text n-1}}\Big)^{\frac{1}{\text n}}}{\text t^{\text n+1}}\text {dt}=\int \frac{\Big(1-\frac{1}{\text t^{\text n-1}}\Big)^{\frac{1}{\text n}}}{\text t^\text n}\text {dt}\)</span></p>

<p>Put&nbsp;&nbsp;<span class=""math-tex"">\(1-\frac{1}{\text t^{\text n-1}}=\text z\Rightarrow\frac{(\text n-1)}{\text t^\text n}\text {dt=dz}\)</span></p>

<p><span class=""math-tex"">\(\Rightarrow\text I=\frac{1}{\text n-1}\int \text z^{\frac{1}{\text n}}\text {dz}=\frac{\text z^{\frac{1}{\text n}+1}}{\Big(\frac{1}{\text n}+1\Big)(\text n-1)}+\text c=\frac{\text n(1-\text t^{1-\text n})^{\text n+1}}{\text n^2-1}+\text c\)</span></p>

<p><span class=""math-tex"">\(=\frac{\text n}{\text n^2-1}\Big(1-\frac{1}{\sin^{\text n-1}\theta}\Big)^{\frac{\text h+1}{\text n}}+\text c\)</span></p>

<p>&nbsp;</p>
",,,,"2020-04-25 07:26:15","1","1",NULL,"2",NULL,NULL,"375","1","3","2","24","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14368","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","easy","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"23983","83",,"A",,,"1","1","1","<p><strong>Let A be a point on the line&nbsp;<span class=""math-tex"">\(\overrightarrow{\text r}=(1-3\mu)\hat{\text i}+(\mu-1)\hat{\text j}+(2+5\mu)\hat{\text k}\)</span>&nbsp;and B(3,2,6)&nbsp;&nbsp;be a point in the space. Then the value of <span class=""math-tex"">\(\mu\)</span>&nbsp;for which the vector&nbsp;<span class=""math-tex"">\(\overrightarrow{\text {AB}}\)</span>&nbsp;is parallel to the plane x &ndash; 4y + 3z = 1 is:&nbsp;&nbsp;</strong></p>

<p><strong>(A)&nbsp;<span class=""math-tex"">\(\frac{1}{4}\)</span></strong></p>

<p><strong>(B)&nbsp;<span class=""math-tex"">\(\frac{1}{8}\)</span></strong></p>

<p><strong>(C)&nbsp;<span class=""math-tex"">\(\frac{1}{2}\)</span></strong></p>

<p><strong>(D)&nbsp;<span class=""math-tex"">\(-\frac{1}{4}\)</span></strong></p>
","<p><strong>Let A is&nbsp;<span class=""math-tex"">\((1-3\mu,\mu-1,2+5\mu)\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\overrightarrow{\text {AB}}=(3\mu+2)\text i+(3-\mu)\hat{\text j}+(4-5\mu)\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\hat{\text k}\)</span>&nbsp;which is parallel to plane&nbsp;x - 4y + 3z = 1</strong></p>

<p><strong><span class=""math-tex"">\(\Rightarrow 1(3\mu+2)-4(3-\mu)+3(4-5\mu)=0\)</span></strong></p>

<p><strong><span class=""math-tex"">\(=-8\mu+2=0\Rightarrow \mu =\frac{1}{4}\)</span></strong></p>
",,,,"2020-04-24 17:31:59","1","1",NULL,"2",NULL,NULL,"375","3","3","2","23","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14367","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","high","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"23981","82",,"B",,,"1","1","1","<p><strong>Let&nbsp;<span class=""math-tex"">\(\overrightarrow{a}=2\hat{\text i}+\lambda_1\hat{\text j} +3\hat{\text k},\overrightarrow{\text b}=4\hat{\text i}+(3-\lambda_2)\hat{\text j}+6\hat{\text k}\)</span>&nbsp;and&nbsp;<span class=""math-tex"">\(\overrightarrow{\text c}=3\hat{\text i}+6\hat{\text j}+(\lambda_3-1)\hat{\text k}\)</span>&nbsp;be three vectors&nbsp;such that&nbsp;<span class=""math-tex"">\(\overrightarrow{\text b}=2\overrightarrow{\text a}\)</span>&nbsp; and&nbsp;<span class=""math-tex"">\(\overrightarrow{\text a}\)</span>&nbsp;&nbsp;is perpendicular to&nbsp;<span class=""math-tex"">\(\overrightarrow{\text c}\)</span>&nbsp;Then a possible value of (<span class=""math-tex"">\(\lambda_1,\lambda_2,\lambda_3\)</span>) is:</strong></p>

<p><strong>(A)&nbsp;<span class=""math-tex"">\((1,3,1)\)</span></strong></p>

<p><strong>(B)&nbsp;<span class=""math-tex"">\(\Big(-\frac{1}{2},4,0\Big)\)</span></strong></p>

<p><strong>(C)&nbsp;<span class=""math-tex"">\(\Big(\frac{1}{2},4,-2\Big)\)</span></strong></p>

<p><strong>(D)&nbsp;<span class=""math-tex"">\((1,5,1)\)</span></strong></p>

<p>&nbsp;</p>
","<p><strong>&nbsp;Because&nbsp;<span class=""math-tex"">\(\text b=2\overrightarrow{a},\text {so}\ 3-\lambda_2=2\lambda_1\)</span>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;............(i)</strong></p>

<p><strong>Because a is perpendicular to c so&nbsp;&nbsp;<span class=""math-tex"">\(6+6\lambda_1+3(\lambda_3-1)=0\)</span>&nbsp; &nbsp; &nbsp; &nbsp;..........(ii)</strong></p>

<p><strong><span class=""math-tex"">\(\Rightarrow (\lambda_1,\lambda_2,\lambda_3)=(\lambda_1,3-2\lambda_1,-1-2\lambda_1 )\)</span>&nbsp;where&nbsp;<span class=""math-tex"">\(\lambda_1\in\text R\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\Rightarrow\Big(-\frac{1}{2},4,0\Big)\)</span>&nbsp;&nbsp;satisfied above triplet. &nbsp;&nbsp;</strong></p>
",,,,"2020-04-24 15:41:38","1","1",NULL,"2",NULL,NULL,"375","2","3","2","22","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14366","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","medium","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
"23980","81",,"C",,,"1","1","1","<p><strong>Let&nbsp;<span class=""math-tex"">\(\text f:\text R\rightarrow \text R\)</span>&nbsp;&nbsp;be a function such that&nbsp;<span class=""math-tex"">\(\text f(\text x)=\text x^3+\text x^2\text f'(1)+\text{xf}''(2)+\text f'''(3),\text x\in \text R.\)</span>&nbsp;&nbsp;Then f(2) equals: &nbsp;</strong></p>

<p><strong>(A) -4 </strong></p>

<p><strong>(B) 30 &nbsp;</strong></p>

<p><strong>(C) -2 </strong></p>

<p><strong>(D) 8 &nbsp;</strong></p>
","<p><strong><span class=""math-tex"">\(\text f(\text x)=\text x^3+\text {ax}^2+\text {bx}+\text c\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\text f'(\text x)=3\text x^2+2\text {ax}+\text b\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\text f''(\text x)=6\text x+2\text a\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\text f'''(\text x)=6\text a=\text f'(1)=3+2\text a+\text b\ \ \Rightarrow \text a+\text b=-3\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\text b=\text f''=12+2\text a \ \ \ \ \ \ \ \ \)</span>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<span class=""math-tex"">\(\Rightarrow2\text a-\text b=-12\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\text c=\text f'''(3)\ \ \ \ \ \ \Rightarrow \text c=6\ \ \text {and }\text a=-5,\text b=2\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\Rightarrow \text f(\text x)=\text x^2-5\text x^2+2\text x+6\)</span></strong></p>

<p><strong><span class=""math-tex"">\(\Rightarrow \text f(2)=8-20+4+6=-2\)</span></strong></p>

<p>&nbsp;</p>
",,,,"2020-04-24 15:08:30","1","1",NULL,"2",NULL,NULL,"375","1","3","2","21","2","7","5","mathematics",NULL,NULL,"JEE Main","10th January 2019(Shift 1)","A,B,C,D","7","rajeshri","mestry","14365","3","3","1",,,NULL,"MATH",NULL,"1","1",NULL,NULL,"MCQ","375","1","3","easy","5","L4","Across all chapters (JEE Main)","0",NULL,"1","Published","success","1","Previous years papers","2"
